task,family,arm,budget,repeat,status,found,candidates_evaluated,search_depth,graph_steps,cpu_seconds,wall_seconds,hidden_checked,hidden_failures,success
numbers/plain_sum,plain_sum,baseline,150000,0,found,['synth_sum'],1,1,9579,0.035814999999999486,0.03621879199999967,40,0,True
numbers/plain_sum,plain_sum,reuse_a,150000,0,found,['synth_sum'],1,1,9574,0.03479600000000005,0.03491416699999661,40,0,True
numbers/plain_sum,plain_sum,reuse_ab,150000,0,found,['synth_sum'],1,1,9720,0.044923999999994635,0.04513033299998881,40,0,True
numbers/plain_sum,plain_sum,reuse_ab,150000,1,found,['synth_sum'],1,1,9720,0.03516100000000222,0.03533149999999807,40,0,True
numbers/plain_sum,plain_sum,reuse_a,150000,1,found,['synth_sum'],1,1,9574,0.034726999999989516,0.034831291999992686,40,0,True
numbers/plain_sum,plain_sum,baseline,150000,1,found,['synth_sum'],1,1,9579,0.034902999999999906,0.035011834000002295,40,0,True
numbers/plain_sum,plain_sum,baseline,450000,0,found,['synth_sum'],1,1,9579,0.04457600000000639,0.044812417000002824,40,0,True
numbers/plain_sum,plain_sum,reuse_a,450000,0,found,['synth_sum'],1,1,9574,0.0352670000000046,0.03543195800000376,40,0,True
numbers/plain_sum,plain_sum,reuse_ab,450000,0,found,['synth_sum'],1,1,9720,0.03438299999999117,0.034413833000002114,40,0,True
numbers/plain_sum,plain_sum,reuse_ab,450000,1,found,['synth_sum'],1,1,9720,0.03521899999999789,0.03558337500000164,40,0,True
numbers/plain_sum,plain_sum,reuse_a,450000,1,found,['synth_sum'],1,1,9574,0.034506000000007475,0.034670665999996686,40,0,True
numbers/plain_sum,plain_sum,baseline,450000,1,found,['synth_sum'],1,1,9579,0.045623000000006186,0.04575762500000735,40,0,True
numbers/plain_sum,plain_sum,baseline,1350000,0,found,['synth_sum'],1,1,9579,0.03498399999999435,0.03513120899999933,40,0,True
numbers/plain_sum,plain_sum,reuse_a,1350000,0,found,['synth_sum'],1,1,9574,0.03468300000000113,0.034704875000002744,40,0,True
numbers/plain_sum,plain_sum,reuse_ab,1350000,0,found,['synth_sum'],1,1,9720,0.03518000000001109,0.035320084000005636,40,0,True
numbers/plain_sum,plain_sum,reuse_ab,1350000,1,found,['synth_sum'],1,1,9720,0.04572899999999436,0.04596529199999111,40,0,True
numbers/plain_sum,plain_sum,reuse_a,1350000,1,found,['synth_sum'],1,1,9574,0.03640200000000959,0.03689654100000439,40,0,True
numbers/plain_sum,plain_sum,baseline,1350000,1,found,['synth_sum'],1,1,9579,0.036126000000010094,0.03659058300000595,40,0,True
numbers/selected_count,selected_count,reuse_a,150000,0,step_budget,,13,2,150000,0.5541670000000067,0.5607617499999975,0,0,False
numbers/selected_count,selected_count,reuse_ab,150000,0,step_budget,,10,2,150000,0.4704550000000012,0.4752602080000088,0,0,False
numbers/selected_count,selected_count,baseline,150000,0,step_budget,,14,2,150000,0.587838000000005,0.5965460419999999,0,0,False
numbers/selected_count,selected_count,baseline,150000,1,step_budget,,14,2,150000,0.5730450000000076,0.580662916999998,0,0,False
numbers/selected_count,selected_count,reuse_ab,150000,1,step_budget,,10,2,150000,0.4675309999999939,0.47190187500000036,0,0,False
numbers/selected_count,selected_count,reuse_a,150000,1,step_budget,,13,2,150000,0.5572630000000061,0.5647957079999912,0,0,False
numbers/selected_count,selected_count,reuse_a,450000,0,found,"['synth_select', 'synth_count']",30,2,361307,1.2497499999999917,1.2653103330000022,40,0,True
numbers/selected_count,selected_count,reuse_ab,450000,0,step_budget,,25,2,450000,1.2218859999999978,1.2278449169999988,0,0,False
numbers/selected_count,selected_count,baseline,450000,0,found,"['synth_select', 'synth_count']",26,2,315495,1.044111000000001,1.0482884580000018,40,0,True
numbers/selected_count,selected_count,baseline,450000,1,found,"['synth_select', 'synth_count']",26,2,315495,1.0512859999999904,1.057342250000005,40,0,True
numbers/selected_count,selected_count,reuse_ab,450000,1,step_budget,,25,2,450000,1.22269,1.231867667000003,0,0,False
numbers/selected_count,selected_count,reuse_a,450000,1,found,"['synth_select', 'synth_count']",30,2,361307,1.1934240000000074,1.1972423330000055,40,0,True
numbers/selected_count,selected_count,reuse_a,1350000,0,found,"['synth_select', 'synth_count']",30,2,361307,1.206836999999993,1.211631208,40,0,True
numbers/selected_count,selected_count,reuse_ab,1350000,0,found,"['synth_select', 'synth_count']",34,2,648701,1.7324530000000067,1.7544067919999975,40,0,True
numbers/selected_count,selected_count,baseline,1350000,0,found,"['synth_select', 'synth_count']",26,2,315495,1.0565129999999954,1.0614580409999945,40,0,True
numbers/selected_count,selected_count,baseline,1350000,1,found,"['synth_select', 'synth_count']",26,2,315495,1.0424349999999976,1.0466013329999981,40,0,True
numbers/selected_count,selected_count,reuse_ab,1350000,1,found,"['synth_select', 'synth_count']",34,2,648701,1.6632709999999946,1.6700394169999981,40,0,True
numbers/selected_count,selected_count,reuse_a,1350000,1,found,"['synth_select', 'synth_count']",30,2,361307,1.2281619999999975,1.2371500839999925,40,0,True
